95.20.35.137	tcp,192.168.1.2,21,36
192.168.1.2	tcp,95.20.35.137,0,0
192.168.1.2	tcp,82.49.16.149,0,0
192.168.1.2	tcp,79.42.142.55,0,0
192.168.1.2	tcp,89.129.230.185,0,0
218.84.107.149	tcp,192.168.1.2,0,0
192.168.1.2	tcp,112.251.74.232,0,0
112.251.74.232	tcp,192.168.1.2,0,0
192.168.1.2	tcp,86.216.100.6,0,0
89.29.238.116	tcp,192.168.1.2,0,0
187.22.105.197	tcp,192.168.1.2,0,0
93.67.242.126	tcp,192.168.1.2,0,0
95.123.195.27	tcp,192.168.1.2,0,0
192.168.1.2	tcp,83.53.27.101,0,0
95.16.7.136	tcp,192.168.1.2,20,54
192.168.1.2	tcp,95.16.7.136,0,0
79.109.167.59	tcp,192.168.1.2,37,33
79.109.167.59	tcp,192.168.1.2,0,0
212.70.205.112	tcp,192.168.1.2,33,34
79.36.205.186	tcp,192.168.1.2,32,24
79.36.205.186	tcp,192.168.1.2,0,0
200.103.34.201	tcp,192.168.1.2,29,54
192.168.1.2	tcp,200.103.34.201,0,0
93.46.211.77	tcp,192.168.1.2,28,30
93.46.211.77	tcp,192.168.1.2,0,0
93.45.217.169	tcp,192.168.1.2,24,50
192.168.1.2	tcp,93.45.217.169,0,0
89.128.26.230	tcp,192.168.1.2,23,26
89.128.26.230	tcp,192.168.1.2,0,0
187.58.90.234	tcp,192.168.1.2,24,45
192.168.1.2	tcp,187.58.90.234,0,0
192.168.1.2	tcp,79.84.232.247,84,0
79.84.232.247	tcp,192.168.1.2,0,0
192.168.1.2	tcp,93.39.101.116,70,0
87.3.196.10	tcp,192.168.1.2,29,33
192.168.1.2	tcp,87.3.196.10,0,0
93.39.101.116	tcp,192.168.1.2,0,0
95.251.36.104	tcp,192.168.1.2,22,29
192.168.1.2	tcp,95.251.36.104,0,0
87.19.147.213	tcp,192.168.1.2,22,49
192.168.1.2	tcp,87.19.147.213,0,0
151.61.119.59	tcp,192.168.1.2,22,45
192.168.1.2	tcp,151.61.119.59,0,0
79.157.7.143	tcp,192.168.1.2,26,35
79.157.7.143	tcp,192.168.1.2,0,0
95.49.190.41	tcp,192.168.1.2,28,37
192.168.1.2	tcp,95.49.190.41,0,0
80.222.55.110	tcp,192.168.1.2,33,42
80.222.55.110	tcp,192.168.1.2,0,0
189.114.229.171	tcp,192.168.1.2,16,42
192.168.1.2	tcp,189.114.229.171,0,0
91.97.135.9	tcp,192.168.1.2,26,37
192.168.1.2	tcp,91.97.135.9,0,0
201.89.66.2	tcp,192.168.1.2,25,44
192.168.1.2	tcp,201.89.66.2,0,0
84.146.78.44	tcp,192.168.1.2,36,31
86.207.19.66	tcp,192.168.1.2,36,38
201.37.72.64	tcp,192.168.1.2,23,25
86.207.19.66	tcp,192.168.1.2,0,0
201.37.72.64	tcp,192.168.1.2,0,0
93.42.148.125	tcp,192.168.1.2,25,44
